name,calories,carbs,fat,category
"Oatmeal Toppings - Toasted Almonds - VG, G",35,35,35,Breakfast
Baked French Toast - V,850,138,28,Breakfast
Pecan Sticky Bun,1020,107,62,Breakfast
Asian Wonton Salad (Entrée),530,63,16,Salads
Pasta Caprese Salad - V (Trio),140,12,7,Salads
"Roasted Tomato Basil w/Croutons - LF, V",200,30,7,Soups
Loaded Baked Potato w/Cheddar Cheese & Green Onion,630,36,43,Soups
Chicken Carbonara - (Combo),680,62,33,Entrees
D.C. Chicken Salad on Steakhouse Rye Bread - (Combo),310,40,11,Sandwiches
D.C. Chicken Salad on Steakhouse Rye Bread - (Whole),620,79,21,Sandwiches
Mom's Egg Salad on White Bread (Combo),250,24,13,Sandwiches
"Farmer's Scrambler - V, G (Egg Whites)",250,12,11,Breakfast
Ham & Swiss Panini (Egg Whites),410,410,410,Breakfast Sandwiches
"Oatmeal Toppings - Currants - LF, VG, G",35,35,35,Breakfast
Baked French Toast w/Sausage & Scrambled Eggs (Whole Eggs),1200,145,48,Breakfast
"Plain Bagel - LF, VG",330,69,2,Breakfast
Croissant - V,340,39,16,Breakfast
Santa Fe Ranch Salad - G (Café & Combo),420,25,25,Salads
The Greek Salad - G (Entrée),530,39,35,Salads
"Egg Salad - V, G (Trio)",230,3,19,Salads
Loaded Baked Potato w/Cheddar Cheese & Green Onion,410,23,28,Soups
Mom's Chicken Noodle - LF  (bowl),210,28,6,Soups
Caesar Salad,230,8,20,Salads
All American Scrambler (with Bacon) - G (Whole Eggs),350,3,27,Breakfast
Chicken Apple Sausage Panini (Whole Eggs),540,38,24,Breakfast Sandwiches
"Chicken Apple Sausage, 2-patties",110,110,110,Breakfast
"Oatmeal Toppings - Toasted Walnuts - VG, G",50,50,50,Breakfast
"8-Grain Bagel - LF, VG",330,72,2,Breakfast
Asian Wonton Salad (Café & Combo),270,33,8,Salads
Caesar Salad (Entrée),710,21,63,Salads
"Seasonal Fruit Medley - LF, VG, G (Trio)",70,16,0,Salads
Pasta Caprese Salad - V (Side),210,18,10,Salads
Italian Wedding Soup w/ Parmesan Cheese  (bowl),280,26,13,Soups
Half Moon Cheese Ravioli - V (Combo),330,37,13,Entrees
Ham on Pretzel Bread - LF (Combo),340,43,10,Sandwiches
Ham on Pretzel Bread - LF (Whole),680,85,20,Sandwiches
Mom's Roast Beef on Sourdough Bread (Combo),255,35,4,Sandwiches
Mom's Corned Beef on Caraway Rye Bread (Whole),480,75,4,Sandwiches
Corned Beef Reuben (Combo),380,39,18,Paninis
All American Scrambler (with Sausage) (Whole Eggs),350,7,20,Breakfast
Smoked Bacon & Cheddar Panini (Whole Eggs),540,35,32,Breakfast Sandwiches
"Harvest Toast - LF, VG",170,170,170,Breakfast
"Oatmeal Toppings - Sweet Crisp, each - V",150,150,150,Breakfast
"Blueberry Bagel - LF, VG",340,73,2,Breakfast
Caesar Salad (Café & Combo),360,12,31,Salads
Caesar Salad w/Roasted Chicken (Entrée),820,23,65,Salads
Tuna Salad - G (Trio),280,2,20,Salads
"Seasonal Fruit Medley - LF, VG, G (Side)",100,26,0,Salads
"Roasted Tomato Basil w/Croutons - LF, V",320,48,12,Soups
"Penne with Marinara - V, LF (Combo)",330,53,8,Entrees
Poblano Fresco Chicken on Poblano Cheese Bread - (Combo),415,37,20,Sandwiches
Poblano Fresco Chicken on Poblano Cheese Bread - (Whole),830,74,39,Sandwiches
Mom's Roasted Chicken on Harvest Bread (Combo),250,32,4,Sandwiches
Zesty Chicken Tortilla - LF,110,12,5,Kid's Meals
All American Scrambler (with Sausage) (Egg Whites),190,6,3,Breakfast
Chicken Apple Sausage Panini (Egg Whites),460,460,460,Breakfast Sandwiches
"Oatmeal w/all toppings - LF, V, G* (Sweet Crisp not included)",330,330,330,Breakfast
Baked French Toast w/Bacon & Scrambled Eggs (Egg Whites),1040,140,39,Breakfast
Cinnamon Crumb Muffin - V,650,90,30,Breakfast
Harvest Salad w/Roasted Chicken (Café & Combo),500,37,26,Salads
Mixed Greens Salad - V (Entrée),420,26,33,Salads
Avocado Wedge - VG (Trio),150,2,10,Salads
"Egg Salad - V, G (Side)",340,5,27,Salads
Mom's Chicken Noodle - LF  (cup),140,19,4,Soups
Big Al's Chili w/Cheddar Cheese (bowl),590,44,28,Soups
Half Moon Cheese Ravioli - V (Entrée),640,73,26,Entrees
Tomato Mozzarella on Ciabatta Ficelle Bread - V (Combo),340,39,14,Sandwiches
Tomato Mozzarella on Ciabatta Ficelle Bread - V (Whole),680,74,27,Sandwiches
Mom's Tuna Salad on Harvest Bread (Whole),640,66,25,Sandwiches
Corner Club (Whole),730,71,31,Paninis
Pasta Marinara - V,300,53,6,Kid's Meals
All American Scrambler (with Bacon) - G (Egg Whites),190,2,11,Breakfast
Anaheim Panini (Egg Whites),470,470,470,Breakfast Sandwiches
"Oatmeal w/out toppings - LF, V, G* (Sweet Crisp not included)",140,140,140,Breakfast
Baked French Toast w/Bacon & Scrambled Eggs (Whole Eggs),1200,141,55,Breakfast
Chocolate Muffin - V,530,62,28,Breakfast
Harvest Salad - V (Café & Combo),430,36,25,Salads
Harvest Salad w/Roasted Chicken (Entrée),870,74,47,Salads
Asian Edamame Salad - V (Trio),90,8,5,Salads
D.C. Chicken Salad - G (Side),360,22,21,Salads
Cheddar Broccoli  (cup),370,19,28,Soups
Country Bread Boule - Bowl Option  (cup),1040,213,3,Soups
Chicken Carbonara - (Entrée),1190,99,62,Entrees
Smoked Turkey Cobb - (Combo),360,28,19,Sandwiches
Smoked Turkey Cobb - (Whole),720,56,38,Sandwiches
Mom's Smoked Ham on White Bread (Whole),410,46,11,Sandwiches
Chicken Pomodori (Whole),740,70,28,Paninis
Macaroni & Cheese - Kraft,350,48,11,Kid's Meals
Mom's Chicken Noodle - LF,70,9,2,Kid's Meals
Anaheim Scrambler - G (Egg Whites),410,8,29,Breakfast
Smoked Bacon & Cheddar Panini (Egg Whites),460,460,460,Breakfast Sandwiches
"Oatmeal Toppings - Brown Sugar - LF, VG, G",45,45,45,Breakfast
Baked French Toast w/Sausage & Fresh Fruit,1030,158,31,Breakfast
Pumpkin Muffin - V,460,69,18,Breakfast
Mixed Greens Salad - V (Café & Combo),220,13,17,Salads
Santa Fe Ranch Salad - G (Entrée),810,45,49,Salads
D.C. Chicken Salad - G (Trio),240,15,14,Salads
"Zesty Chicken Tortilla w/Tortilla Strips - LF, G  (cup)",230,26,11,Soups
Cheddar Broccoli  (bowl),550,28,41,Soups
"Penne with Marinara - V, LF (Entrée)",560,89,15,Entrees
Turkey on Pretzel Bread - LF,335,43,8,Sandwiches
Turkey on Pretzel Bread - LF,670,87,15,Sandwiches
Mom's Turkey on Harvest Bread (Whole),470,66,5,Sandwiches
Corned Beef Reuben (Whole),760,78,37,Paninis
Pasta w/ Cream Sauce,440,49,20,Kid's Meals
Peanut Butter & Jelly Sandwich - V (Combo),365,47,17,Kid's Meals
Grilled Cheese Sandwich - V (Whole),540,42,30,Kid's Meals
Loaded Baked Potato,210,12,14,Kid's Meals
"Greek Vegetable Salad - V, G (Trio)",60,6,3,Salads
Italian Wedding Soup w/ Parmesan Cheese  (cup),190,18,8,Soups
"Zesty Chicken Tortilla w/Tortilla Strips - LF, G  (bowl)",360,40,16,Soups
Mixed Greens Salad w/dressing - V,120,9,8,Salads
Chicken Carbonara - (Combo),340,37,12,Sandwiches
Chicken Carbonara - (Whole),680,74,24,Sandwiches
Mom's Corned Beef on Caraway Rye Bread (Combo),240,37,2,Sandwiches
Add Spread - Mayo (Combo),40,1,4,Sandwiches
Chicken Pomodori (Combo),370,35,14,Paninis
Grilled Ham & Swiss (Whole),680,70,22,Paninis
Ham Sandwich on Harvest Bread - LF (Whole),410,60,7,Kid's Meals
"Roasted Tomato Basil - LF, V",80,13,2,Kid's Meals
Banana Baby Bundt Cake - V,620,81,30,Desserts
Oatmeal Raisin Cookie - V,290,47,10,Desserts
Raspberry Bar - V,530,72,24,Desserts
Caramel Latte - Whole,490,81,13,Coffee
Cappuccino - Nonfat,120,17,0,Coffee
Chai Latte - Whole,270,20,15,Coffee
Country Small Oblong - VG (whole),2600,532,8,Breads
Poblano Cheese Batard - V,410,60,13,Breads
Pesto Cavatappi (Entrée),1140,88,64,Entrees
Uptown Turkey on Harvest Bread - (Combo),330,35,12,Sandwiches
Uptown Turkey on Harvest Bread - (Whole),660,70,23,Sandwiches
California Grille - V (Combo),305,32,13,Paninis
Green Chile & Chicken (Whole),740,72,27,Paninis
Grilled Cheese Sandwich - V (Combo),290,21,17,Kid's Meals
Peanut Butter & Jelly Sandwich on Harvest Bread - V (Combo),405,56,16,Kid's Meals
Ham Sandwich - LF (Whole),330,42,9,Kid's Meals
Italian Wedding Soup,100,9,4,Kid's Meals
"Seasonal Fruit Medley - LF, VG, G",70,16,0,Sides
Monster Cookie - V,340,51,14,Desserts
Maple Pecan Bar - V,730,80,44,Desserts
Caramel Latte - Whole,380,61,11,Coffee
Cappuccino - Nonfat,90,12,0,Coffee
Chai Latte - Whole,200,15,11,Coffee
Country Boule - VG (whole),1040,213,3,Breads
Ciabatta Ficelle - V,360,65,6,Breads
Poblano Fresco Roast Beef on Poblano Cheese Bread - (Combo),425,36,21,Sandwiches
Poblano Fresco Roast Beef on Poblano Cheese Bread - (Whole),850,72,42,Sandwiches
Mom's Smoked Ham on White Bread (Combo),205,23,6,Sandwiches
Mom's Roast Beef on Sourdough Bread (Whole),510,70,8,Sandwiches
Grilled Ham & Swiss (Combo),340,35,11,Paninis
Kids' Scrambler w/Toast & Fresh Fruit,320,39,12,Kid's Meals
Turkey Sandwich on Harvest Bread - LF (Whole),400,62,5,Kid's Meals
Lemon Pound Cake - Slice,480,64,22,Desserts
Whoopee Pie - Chocolate Mocha - V,390,45,21,Desserts
Cappuccino - Whole,140,11,7,Coffee
Truffle Mocha - Whole,510,95,16,Coffee
Caramel Latte - Nonfat,320,63,2,Coffee
Truffle Mocha - Nonfat,300,72,1,Coffee
Chai Latte - Nonfat,210,29,0,Coffee
Old Fashioned Lemonade - VG,520,136,0,Drinks
Cinnamon Raisin - V (slice),220,32,7,Breads
Raisin Pecan Miche - VG (whole),2070,340,61,Breads
Poblano Fresco Vegetarian on Poblano Cheese Bread - V,395,37,22,Sandwiches
Poblano Fresco Vegetarian on Poblano Cheese Bread - V,790,73,44,Sandwiches
Mom's Tuna Salad on Harvest Bread (Combo),320,33,13,Sandwiches
Mom's Roasted Chicken on Harvest Bread (Whole),500,65,8,Sandwiches
California Grille - V (Whole),610,64,26,Paninis
Half Moon Cheese Ravioli - V,320,37,14,Kid's Meals
Cheddar Broccoli,190,10,14,Kid's Meals
Kid's Apple Juice,80,20,0,Kid's Meals
"Baby Carrots - LF, VG, G",30,7,0,Sides
Pumpkin Pound Cake - Slice,490,73,19,Desserts
Whoopee Pie - Peanut Butter - V,440,38,29,Desserts
Cappuccino - Whole,190,15,10,Coffee
Truffle Hot Chocolate w/Whipped Cream - Whole,350,50,17,Coffee
Caramel Latte - Nonfat,410,84,2,Coffee
Truffle Mocha - Nonfat,400,98,1,Coffee
Old Fashioned Lemonade - VG,260,68,0,Drinks
Frozen Mango Lemonade - VG,700,182,0,Drinks
Country Boule - VG (slice),80,16,0,Breads
Steakhouse Rye - VG (whole),1990,393,15,Breads
Add Spread - Country Dijon Mustard (Combo),5,0,0,Sandwiches
Corner Club (Combo),365,36,15,Paninis
Kids' Cheesy Scrambler w/Toast & Bacon,380,22,24,Kid's Meals
Peanut Butter & Jelly Sandwich - V (Whole),730,93,34,Kid's Meals
Chocolate Baby Bundt Cake - V,580,70,30,Desserts
Snickerdoodle Cookie - V,290,47,10,Desserts
Cream Cheese Brownie - V,590,53,37,Desserts
Caramel Latte - Whole,650,108,17,Coffee
Latte - Nonfat,120,16,0,Coffee
Chai Latte - Whole,340,25,18,Coffee
Traditional Sesame Baguette - VG (slice),50,8,1,Breads
Country Large Oblong - VG (whole),4220,862,16,Breads
Pretzel Demi - V,410,77,5,Breads
Mom's Egg Salad on White Bread (Whole),500,48,25,Sandwiches
Green Chile & Chicken (Combo),370,36,13,Paninis
Kids' Scrambler w/Toast & Bacon,320,22,19,Kid's Meals
Turkey Sandwich - LF (Whole),320,43,7,Kid's Meals
Grapes - Small Bunch (Kids' Menu) - G,40,11,0,Sides
Cinnamon Creme Cake - Slice (12 slices/cake) - V,770,108,34,Desserts
White Chocolate Macadamia Nut Cookie,270,44,10,Desserts
Cappuccino - Whole,100,8,5,Coffee
Truffle Mocha - Whole,380,70,12,Coffee
Latte - Nonfat,190,26,0,Coffee
Chai Latte - Nonfat,170,23,0,Coffee
Iced Coffee - Creamy,320,64,6,Coffee
Brioche Flatbread (slice),330,46,13,Breads
Mom's White - V (whole),2090,314,67,Breads
Kids' Cheesy Scrambler w/Toast & Fresh Fruit,380,39,17,Kid's Meals
Peanut Butter & Jelly Sandwich on Harvest Bread - V (Whole),810,112,32,Kid's Meals
Garlic Bread (Pasta Entrées Only) - V,110,16,4,Sides
Chocolate Turtle Baby Bundt Cake - V,760,84,44,Desserts
Sugar Cookie - V,290,47,10,Desserts
Fudge Brownie,590,86,28,Desserts
Truffle Mocha - Whole,270,46,10,Coffee
Latte - Nonfat,160,22,0,Coffee
Chai Latte - Nonfat,125,17,0,Coffee
Iced Coffee - Creamy,640,128,12,Coffee
White Rye Oblong - VG (slice),180,35,1,Breads
Harvest - VG (whole),2080,401,15,Breads
Kid's Berry Juice,90,21,0,Kid's Meals
"Bakery Chips - VG, G",150,15,9,Sides
Apricot Walnut Rugalach - V,240,23,15,Desserts
Whoopee Pie - Pumpkin - V,400,45,22,Desserts
Latte - Whole,190,15,10,Coffee
Truffle Hot Chocolate w/Whipped Cream - Whole,480,75,21,Coffee
Truffle Hot Chocolate w/Whipped Cream - Nonfat,280,51,7,Drinks
Frozen Mango Lemonade - VG,350,91,0,Drinks
Frozen Mango Pomegranate Swirl - VG,640,166,0,Drinks
Country Small Oblong - VG (slice),110,22,0,Breads
Raisin Pecan Miche - VG (slice),140,23,4,Breads
Traditional Sesame Baguette - VG (whole),1610,287,30,Breads
Banana - Whole (Kids' Menu) - G,110,27,0,Sides
Cinnamon Pecan Rugalach - V,250,24,16,Desserts
Whoopee Pie - Vanilla - V,430,43,26,Desserts
Latte - Whole,250,19,13,Coffee
Truffle Hot Chocolate w/Whipped Cream - Whole,610,100,24,Coffee
Truffle Hot Chocolate w/Whipped Cream - Nonfat,390,78,7,Drinks
Frozen Mango Pomegranate Swirl - VG,320,83,0,Drinks
Frozen Pomegranate Lemonade - VG,580,150,0,Drinks
Country Large Oblong - VG (slice),170,33,1,Breads
Brioche Flatbread (whole),1320,160,51,Breads
White Rye Oblong - VG (whole),3540,649,59,Breads
"Pickle Spear - VG, G",10,1,0,Sides
Chocolate Chip Cookie - V,300,46,113,Desserts
Lemon Bar - V,590,90,24,Desserts
Latte - Whole,300,23,16,Coffee
Cappuccino - Nonfat,60,9,0,Coffee
Truffle Hot Chocolate w/Whipped Cream - Nonfat,490,103,7,Drinks
Frozen Pomegranate Lemonade - VG,290,75,0,Drinks
Cinnamon Raisin - V (whole),2540,389,87,Breads
Focaccia Loaf - VG (whole),1040,190,15,Breads
"Dipped Cone, Chocolate - Kids’ ***",220,30,9,Desserts
"Sundae, Cherry - Small",240,39,7,Desserts
"Sundae, Marshmallow - Medium",410,74,10,Desserts
"Sundae, Strawberry - Large",480,76,14,Desserts
Pecan Mudslide® Treat,640,83,30,Desserts
Cherry StarKiss® Bar,80,21,0,Desserts
"Oreo® Blizzard Cake, 10”, 1/12 slice***",540,76,23,Desserts
1/4 lb. GrillBurger with Cheese,540,44,30,Burgers
Iron Grilled Supreme BLT Sandwich,600,40,34,Sandwiches
Chili Cheese Dog,380,23,24,Entrees
Applesauce,90,23,0,Kid's Meals
Breaded Mushrooms,250,36,9,Sides
Biscuits & Gravy,730,64,47,Breakfast
Banana Cream Pie Blizzard - Mini,370,57,13,Desserts
Butterfinger Blizzard - Medium,740,114,26,Desserts
Cookie Dough Blizzard - Mini,420,62,16,Desserts
French Silk Pie Blizzard - Medium,900,120,42,Desserts
Heath® Blizzard - Mini,360,51,14,Desserts
Midnight Truffle Blizzard - Medium,1000,133,49,Desserts
Oreo® CheeseQuake® Blizzard - Mini,380,53,15,Desserts
Snickers Blizzard - Medium,850,123,33,Desserts
Banana Slices,25,6,0,Desserts
Cappuccino MooLatté - Small,450,65,16,Coffee
Mocha MooLatté - Medium,660,96,25,Coffee
"Arctic Rush Float, All Flavors - Large",550,108,9,Drinks
"Shake, Chocolate - Small",540,81,20,Shakes
"Shake, Strawberry - Medium",610,90,22,Shakes
"Malt, Caramel - Large",1080,178,31,Shakes
"Malt, Peanut Butter - Small",700,83,34,Shakes
"Lemonade Chiller, Classic, Medium",380,87,0,Drinks
"Dipped Cone, Chocolate - Medium ***",470,61,22,Desserts
"Sundae, Cherry - Large",490,80,14,Desserts
"Sundae, Peanut Butter - Small",390,39,22,Desserts
Choc. Cov. Strawberry Waffle Bowl Sundae,760,96,38,Desserts
Chocolate Dilly® Bar***,240,24,15,Desserts
Fudge Bar,50,13,0,Desserts
"Reese’s® PB Cups Blizz. Cake 10”, 1/12 slice***",580,77,27,Desserts
Original Double Cheeseburger,630,34,34,Burgers
Crispy Chicken Sandwich,600,59,30,Sandwiches
Foot-Long Chili Cheese Dog,670,40,43,Entrees
French Fries - Kids’,190,27,8,Kid's Meals
Chili - Cup,470,54,16,Soups
Bacon Biscuit Sandwich,380,26,24,Breakfast
Banana Cream Pie Blizzard - Medium,770,117,28,Desserts
Choco Cherry Love Blizzard - Mini,330,49,11,Desserts
Cookie Dough Blizzard - Medium,1020,148,40,Desserts
Georgia Mud Fudge® Blizzard - Mini,410,52,19,Desserts
Heath Blizzard - Medium,920,126,41,Desserts
Mint Oreo® Blizzard - Mini,400,62,14,Desserts
Oreo CheeseQuake Blizzard - Medium,820,108,35,Desserts
Strawberry CheeseQuake® Blizzard - Mini,330,48,12,Desserts
Oreo Cookie Pieces,140,20,6,Desserts
Cappuccino MooLatté - Large,710,106,23,Coffee
"Arctic Rush, All Flavors - Small",210,41,0,Drinks
"Shake, Banana - Medium",580,85,21,Shakes
"Shake, Chocolate - Large",900,148,31,Shakes
"Shake, Vanilla - Small",520,77,19,Shakes
"Malt, Cherry - Medium",710,112,22,Shakes
"Malt, Peanut Butter - Large",1350,143,72,Shakes
"Lemonade Chiller, Strawberry, Small",280,64,0,Drinks
Vanilla Cone - Medium,330,53,10,Desserts
"Sundae, Banana - Small",230,37,7,Desserts
"Sundae, Chocolate - Medium",400,70,12,Desserts
"Sundae, Peanut Butter - Large",790,80,44,Desserts
Chocolate Coated Waffle Cone w/ Soft Serve,540,77,21,Desserts
Chocolate Mint Dilly Bar,240,24,15,Desserts
DQ Home-Pak,1150,171,38,Desserts
"Choc. Xtreme Blizzard Cake, 10”, 1/12 slice***",630,84,29,Desserts
Chick. Strip Basket - 6pc w/ Country Gravy,1260,121,66,Chicken
Crispy FlameThrower Chicken Sandwich,830,63,51,Sandwiches
Hot Dog,290,22,17,Entrees
French Fries - Large,500,70,21,French Fries
Deluxe Double Cheeseburger,640,35,34,Burgers
Sausage Biscuit Twin Pack,600,48,36,Breakfast
Banana Split Blizzard - Mini,290,49,8,Desserts
Choco Cherry Love Blizzard - Medium,650,95,24,Desserts
Double Fudge Cookie Dough Blizzard - Mini,450,63,18,Desserts
Georgia Mud Fudge Blizzard - Medium,990,115,55,Desserts
M&M’s® Chocolate Candy Blizzard - Mini,370,57,13,Desserts
Mint Oreo Blizzard - Medium,740,116,25,Desserts
Reese’s® Peanut Butter Cups® Blizzard - Mini,360,50,14,Desserts
Strawberry CheeseQuake Blizzard - Medium,690,92,28,Desserts
Cocoa Fudge,140,16,10,Desserts
Peanuts,80,3,7,Desserts
Caramel MooLatté - Medium,650,103,20,Coffee
"Arctic Rush, All Flavors - Large",350,70,0,Drinks
"Shake, Caramel - Small",560,83,20,Shakes
"Shake, Hot Fudge - Medium",750,108,29,Shakes
"Shake, Vanilla - Large",840,128,28,Shakes
"Malt, Chocolate - Small",590,92,21,Shakes
"Malt, Strawberry - Medium",700,107,22,Shakes
"Lemonade Chiller, Strawberry, Large",680,161,0,Drinks
Vanilla Cone - Small,230,36,7,Desserts
"Dipped Cone, Chocolate - Large ***",660,85,30,Desserts
"Sundae, Chocolate - Small",280,48,8,Desserts
"Sundae, Peanut Butter - Medium",570,56,32,Desserts
Fudge Brownie Temptation Waffle Bowl Sundae,940,121,48,Desserts
No Sugar Added Dilly Bar,190,24,13,Desserts
Vanilla Orange Bar,60,18,0,Desserts
"Reese’s PB Cups Blizzard Cake 8”, 1/8 slice***",580,76,27,Desserts
Chick. Strip Basket - 4pc w/ Country Gravy,1030,105,53,Chicken
Grilled Chicken Sandwich,360,32,15,Sandwiches
Foot-Long Hot Dog,560,39,35,Entrees
French Fries - Regular,310,43,13,French Fries
Deluxe Cheeseburger,400,35,18,Burgers
Ham Biscuit Sandwich,360,26,21,Breakfast
Banana Cream Pie Blizzard - Large,1090,168,38,Desserts
Choco Cherry Love Blizzard - Small,460,69,17,Desserts
Cookie Dough Blizzard - Large,1300,190,52,Desserts
Georgia Mud Fudge Blizzard - Small,680,82,35,Desserts
Heath Blizzard - Large,1260,173,57,Desserts
Mint Oreo Blizzard - Small,560,87,18,Desserts
Oreo CheeseQuake Blizzard - Large,1140,151,49,Desserts
Strawberry CheeseQuake Blizzard - Small,510,69,20,Desserts
Peanut Butter Topping,180,8,15,Desserts
Caramel MooLatté - Small,520,82,16,Coffee
"Arctic Rush, All Flavors - Medium",260,53,0,Drinks
"Shake, Banana - Large",750,111,26,Shakes
"Shake, Hot Fudge - Small",560,79,22,Shakes
"Shake, Vanilla - Medium",650,98,22,Shakes
"Malt, Cherry - Large",910,144,27,Shakes
"Malt, Strawberry - Small",550,81,19,Shakes
"Lemonade Chiller, Strawberry, Medium",420,96,0,Drinks
Vanilla Cone - Large,470,74,14,Desserts
"Sundae, Banana - Medium",330,53,10,Desserts
"Sundae, Chocolate - Large",570,98,17,Desserts
"Sundae, Pineapple - Small",230,38,7,Desserts
Plain Waffle Cone with Soft Serve,420,67,13,Desserts
Butterscotch Dilly Bar,210,24,11,Desserts
"DQ Cake, 10”, 1/12 slice",410,60,15,Desserts
"Choc. Xtreme Blizzard Cake, 8”, 1/8 slice***",620,83,29,Desserts
Chicken Quesadilla Basket,1160,110,60,Chicken
Crispy Chicken Salad,470,29,26,Salads
Hot Dog Kids’,290,22,17,Kid's Meals
Chili Cheese Fries,1020,116,51,French Fries
Deluxe Double Hamburger,540,34,26,Burgers
Ultimate Breakfast Burrito,640,55,37,Breakfast
Banana Split Blizzard - Small,440,71,14,Desserts
Choco Cherry Love Blizzard - Large,920,136,34,Desserts
Double Fudge Cookie Dough Blizzard - Small,750,107,32,Desserts
Georgia Mud Fudge Blizzard - Large,1450,164,83,Desserts
M&M’s Chocolate Candy Blizzard - Small,660,101,23,Desserts
Mint Oreo Blizzard - Large,1070,168,36,Desserts
Reese’s Peanut Butter Cups Blizzard - Small,530,74,21,Desserts
Strawberry CheeseQuake Blizzard - Large,930,124,37,Desserts
Caramel Topping,90,20,1,Desserts
Coconut Flakes,80,7,7,Desserts
Pecan Pieces,100,2,11,Desserts
Caramel MooLatté - Large,690,107,23,Coffee
"Arctic Rush Freeze, All Flavors - Small",380,65,10,Drinks
"Shake, Caramel - Medium",740,117,24,Shakes
"Shake, Hot Fudge - Large",970,141,36,Shakes
"Malt, Banana - Small",540,80,19,Shakes
"Malt, Chocolate - Medium",790,130,26,Shakes
"Malt, Strawberry - Large",880,137,27,Shakes
"Dipped Cone, Chocolate - Small ***",330,42,15,Desserts
"Sundae, Cherry - Medium",350,57,10,Desserts
"Sundae, Marshmallow - Large",580,103,14,Desserts
Turtle Waffle Bowl Sundae,810,115,35,Desserts
Strawberry Shortcake,480,75,17,Desserts
Stars & Stripes StarKiss Bar,80,21,0,Desserts
"Oreo Blizzard Cake, 8”, 1/8 slice***",550,75,24,Desserts
Original Cheeseburger,400,34,18,Burgers
Iron Grilled Cheese Sandwich,420,52,14,Sandwiches
Chili Dog,330,24,20,Entrees
Banana,110,29,0,Kid's Meals
Chili - Bowl,710,881,24,Soups
Sausage Biscuit Sandwich,440,25,30,Breakfast
Banana Cream Pie Blizzard - Small,570,85,21,Desserts
Butterfinger Blizzard - Large,990,151,35,Desserts
Cookie Dough Blizzard - Small,710,104,28,Desserts
French Silk Pie Blizzard - Large,1320,176,62,Desserts
Heath Blizzard - Small,600,83,26,Desserts
Midnight Truffle Blizzard - Large,1300,171,65,Desserts
Oreo CheeseQuake Blizzard - Small,580,78,25,Desserts
Snickers Blizzard - Large,1140,168,44,Desserts
M&M’s Chocolate Candies,140,20,6,Desserts
Cappuccino MooLatté - Medium,570,84,19,Coffee
Mocha MooLatté - Large,820,121,31,Coffee
"Shake, Banana - Small",480,68,18,Shakes
"Shake, Chocolate - Medium",700,112,25,Shakes
"Shake, Strawberry - Large",770,114,26,Shakes
"Malt, Cherry - Small",560,83,19,Shakes
"Malt, Peanut Butter - Medium",1010,111,53,Shakes
"Lemonade Chiller, Classic, Large",600,143,0,Drinks
Chocolate Cone - Large,490,75,15,Desserts
"Sundae, Caramel - Large",610,103,16,Desserts
"Sundae, Marshmallow - Small",290,50,7,Desserts
"Sundae, Strawberry - Medium",350,56,10,Desserts
Peanut Butter Bash™,580,73,27,Desserts
DQ Sandwich,190,31,5,Desserts
"DQ Sheet Cake, 1/24 slice",320,47,13,Desserts
1/2 lb. GrillBurger with Cheese,800,44,51,Burgers
Iron Grilled Classic Club Sandwich,600,55,24,Sandwiches
Grilled Chicken Wrap,280,22,15,Sandwiches
Fries,190,27,8,Kid's Meals
Barbecue Pork Sandwich,310,41,9,Sandwiches
Cheese Curds,550,0,45,Sides
Hashbrowns,190,18,12,Breakfast
Butterfinger Blizzard - Small,470,71,16,Desserts
Chocolate Xtreme Blizzard - Large,1420,189,67,Desserts
French Silk Pie Blizzard - Small,670,90,30,Desserts
Hawaiian Blizzard - Large,820,125,29,Desserts
Midnight Truffle Blizzard - Small,750,99,37,Desserts
Oreo Cookies Blizzard - Large,980,145,36,Desserts
Snickers Blizzard - Small,670,99,26,Desserts
Turtle Pecan Cluster Blizzard - Large ***,1470,164,82,Desserts
Chocolate Chip Cookie Dough Pieces,130,18,6,Desserts
Whipped Topping,90,7,7,Desserts
Mocha MooLatté - Small,500,74,19,Coffee
"Arctic Rush Float, All Flavors - Medium",420,82,7,Drinks
"Shake, Cherry - Large",830,126,27,Shakes
"Shake, Strawberry - Small",490,70,18,Shakes
"Malt, Caramel - Medium",830,134,25,Shakes
"Malt, Hot Fudge - Large",1090,165,38,Shakes
"Lemonade Chiller, Classic, Small",250,55,0,Drinks
Chocolate Cone - Kids’,180,28,5,Desserts
"Sundae, Banana - Large",470,76,14,Desserts
"Sundae, Hot Fudge - Small",300,46,10,Desserts
"Sundae, Pineapple - Medium",340,54,10,Desserts
Peanut Buster® Parfait,710,96,31,Desserts
Cherry Dilly Bar,210,24,12,Desserts
"DQ Cake, 8”, 1/8 slice",410,59,15,Desserts
1/4 lb. Bacon Cheese GrillBurger™,630,44,37,Burgers
Veggie Quesadilla Basket,1100,110,59,Entrees
Grilled Chicken Salad,330,13,15,Salads
Cheeseburger Kids’,400,34,18,Kid's Meals
Onion Rings,360,47,16,Sides
Deluxe Hamburger,350,34,14,Burgers
Country Platter,780,69,46,Breakfast
Banana Split Blizzard - Medium,570,93,17,Desserts
Chocolate Xtreme Blizzard - Mini,400,55,17,Desserts
Double Fudge Cookie Dough Blizzard - Med,1010,144,42,Desserts
Hawaiian Blizzard - Mini,300,45,10,Desserts
